Count,Date,DAM LMP,RT LMP,RT DAM Spread,RT>DAM,Day of week,Month,Season,DAM yesterday,DAM 7 days ago,DAM to DAM spread,Rolling 7d DAM mean,Rolling 7d RT DAM spread,Weight,,,Lamba (half life),1 year,0.0019
870,5/19/2021,30.91,31.61,0.71,1,3,5,Spring,26.45,25.41,4.46,24.20,2.87,0.1626407224,,,,,
871,5/20/2021,31.90,24.76,-7.15,0,4,5,Spring,30.91,24.13,1.00,24.98,2.77,0.1629500014,,,,,
872,5/21/2021,28.99,28.96,-0.03,0,5,5,Spring,31.90,24.51,-2.91,26.09,1.68,0.1632598686,,,,,
873,5/22/2021,27.94,42.31,14.37,1,6,5,Spring,28.99,21.48,-1.05,26.73,1.68,0.163570325,,,,,
874,5/23/2021,32.03,41.64,9.61,1,7,5,Spring,27.94,21.23,4.08,27.66,3.50,0.1638813717,,,,,
875,5/24/2021,25.74,28.12,2.38,1,1,5,Spring,32.03,26.18,-6.28,29.20,4.49,0.16419301,,,,,
876,5/25/2021,26.27,29.73,3.46,1,2,5,Spring,25.74,26.45,0.53,29.14,4.06,0.1645052409,,,,,
877,5/26/2021,31.86,52.69,20.83,1,3,5,Spring,26.27,30.91,5.59,29.11,3.34,0.1648180655,,,,,
878,5/27/2021,30.87,37.20,6.33,1,4,5,Spring,31.86,31.90,-0.99,29.25,6.21,0.165131485,,,,,
879,5/28/2021,26.68,29.15,2.47,1,5,5,Spring,30.87,28.99,-4.19,29.10,8.13,0.1654455004,,,,,
880,5/29/2021,21.93,23.94,2.02,1,6,5,Spring,26.68,27.94,-4.75,28.77,8.49,0.1657601131,,,,,
881,5/30/2021,22.55,21.91,-0.64,0,7,5,Spring,21.93,32.03,0.62,27.91,6.73,0.1660753239,,,,,
882,5/31/2021,22.26,18.79,-3.47,0,1,5,Spring,22.55,25.74,-0.28,26.55,5.26,0.1663911342,,,,,
883,6/1/2021,26.64,19.46,-7.18,0,2,6,Summer,22.26,26.27,4.38,26.06,4.43,0.1667075451,,,,,
884,6/2/2021,26.38,23.56,-2.82,0,3,6,Summer,26.64,31.86,-0.26,26.11,2.91,0.1670245576,,,,,
885,6/3/2021,26.67,26.33,-0.34,0,4,6,Summer,26.38,30.87,0.28,25.33,-0.47,0.167342173,,,,,
886,6/4/2021,28.02,43.69,15.67,1,5,6,Summer,26.67,26.68,1.35,24.73,-1.42,0.1676603923,,,,,
887,6/5/2021,29.91,36.19,6.27,1,6,6,Summer,28.02,21.93,1.89,24.92,0.46,0.1679792168,,,,,
888,6/6/2021,36.41,36.82,0.41,1,7,6,Summer,29.91,22.55,6.50,26.06,1.07,0.1682986475,,,,,
889,6/7/2021,43.42,48.92,5.50,1,1,6,Summer,36.41,22.26,7.01,28.04,1.22,0.1686186857,,,,,
890,6/8/2021,41.74,73.45,31.71,1,2,6,Summer,43.42,26.64,-1.68,31.06,2.50,0.1689393325,,,,,
891,6/9/2021,39.70,58.29,18.59,1,3,6,Summer,41.74,26.38,-2.04,33.22,8.06,0.169260589,,,,,
892,6/10/2021,36.06,39.90,3.83,1,4,6,Summer,39.70,26.67,-3.64,35.13,11.12,0.1695824564,,,,,
893,6/11/2021,29.37,31.44,2.06,1,5,6,Summer,36.06,28.02,-6.69,36.47,11.71,0.1699049359,,,,,
894,6/12/2021,27.99,29.79,1.81,1,6,6,Summer,29.37,29.91,-1.39,36.66,9.77,0.1702280286,,,,,
895,6/13/2021,26.53,30.63,4.10,1,7,6,Summer,27.99,36.41,-1.46,36.39,9.13,0.1705517357,,,,,
896,6/14/2021,29.29,27.73,-1.56,0,1,6,Summer,26.53,43.42,2.77,34.97,9.66,0.1708760584,,,,,
897,6/15/2021,29.37,27.67,-1.70,0,2,6,Summer,29.29,41.74,0.08,32.95,8.65,0.1712009978,,,,,
898,6/16/2021,27.83,24.50,-3.34,0,3,6,Summer,29.37,39.70,-1.54,31.19,3.88,0.1715265551,,,,,
899,6/17/2021,26.24,25.86,-0.39,0,4,6,Summer,27.83,36.06,-1.59,29.49,0.74,0.1718527315,,,,,
900,6/18/2021,28.89,29.04,0.15,1,5,6,Summer,26.24,29.37,2.65,28.09,0.14,0.1721795282,,,,,
901,6/19/2021,32.99,29.81,-3.18,0,6,6,Summer,28.89,27.99,4.10,28.02,-0.13,0.1725069463,,,,,
902,6/20/2021,35.01,33.90,-1.11,0,7,6,Summer,32.99,26.53,2.02,28.73,-0.84,0.172834987,,,,,
903,6/21/2021,43.53,38.70,-4.83,0,1,6,Summer,35.01,29.29,8.52,29.95,-1.59,0.1731636516,,,,,
904,6/22/2021,32.89,30.14,-2.75,0,2,6,Summer,43.53,29.37,-10.64,31.98,-2.06,0.1734929411,,,,,
905,6/23/2021,26.72,24.09,-2.64,0,3,6,Summer,32.89,27.83,-6.17,32.48,-2.21,0.1738228568,,,,,
906,6/24/2021,27.60,33.61,6.01,1,4,6,Summer,26.72,26.24,0.88,32.32,-2.11,0.1741533998,,,,,
907,6/25/2021,29.72,30.79,1.06,1,5,6,Summer,27.60,28.89,2.12,32.52,-1.19,0.1744845715,,,,,
908,6/26/2021,31.61,36.62,5.01,1,6,6,Summer,29.72,32.99,1.89,32.64,-1.06,0.1748163729,,,,,
909,6/27/2021,40.23,43.50,3.27,1,7,6,Summer,31.61,35.01,8.61,32.44,0.11,0.1751488052,,,,,
910,6/28/2021,52.92,79.39,26.47,1,1,6,Summer,40.23,43.53,12.69,33.19,0.73,0.1754818697,,,,,
911,6/29/2021,60.00,78.34,18.34,1,2,6,Summer,52.92,32.89,7.08,34.53,5.21,0.1758155676,,,,,
912,6/30/2021,71.49,79.72,8.23,1,3,6,Summer,60.00,26.72,11.50,38.40,8.22,0.1761499,,,,,
913,7/1/2021,49.34,43.28,-6.05,0,4,7,Summer,71.49,27.60,-22.16,44.80,9.77,0.1764848682,,,,,
914,7/2/2021,34.30,38.55,4.24,1,5,7,Summer,49.34,29.72,-15.03,47.90,8.05,0.1768204734,,,,,
915,7/3/2021,26.62,28.63,2.01,1,6,7,Summer,34.30,31.61,-7.68,48.56,8.50,0.1771567167,,,,,
916,7/4/2021,25.89,21.02,-4.86,0,7,7,Summer,26.62,40.23,-0.74,47.84,8.07,0.1774935995,,,,,
917,7/5/2021,32.86,38.29,5.43,1,1,7,Summer,25.89,52.92,6.98,45.79,6.91,0.1778311229,,,,,
918,7/6/2021,51.78,54.84,3.05,1,2,7,Summer,32.86,60.00,18.92,42.93,3.90,0.1781692881,,,,,
919,7/7/2021,57.20,102.46,45.26,1,3,7,Summer,51.78,71.49,5.41,41.76,1.72,0.1785080964,,,,,
920,7/8/2021,49.55,55.60,6.05,1,4,7,Summer,57.20,49.34,-7.65,39.71,7.01,0.1788475489,,,,,
921,7/9/2021,40.07,38.67,-1.39,0,5,7,Summer,49.55,34.30,-9.48,39.74,8.74,0.179187647,,,,,
922,7/10/2021,34.98,33.48,-1.50,0,6,7,Summer,40.07,26.62,-5.09,40.57,7.93,0.1795283918,,,,,
923,7/11/2021,35.03,32.45,-2.59,0,7,7,Summer,34.98,25.89,0.05,41.76,7.43,0.1798697846,,,,,
924,7/12/2021,44.08,44.48,0.40,1,1,7,Summer,35.03,32.86,9.05,43.07,7.76,0.1802118265,,,,,
925,7/13/2021,42.11,32.29,-9.82,0,2,7,Summer,44.08,51.78,-1.98,44.67,7.04,0.1805545189,,,,,
926,7/14/2021,43.96,45.92,1.96,1,3,7,Summer,42.11,57.20,1.85,43.29,5.20,0.180897863,,,,,
927,7/15/2021,47.79,40.69,-7.10,0,4,7,Summer,43.96,49.55,3.83,41.40,-0.98,0.1812418599,,,,,
928,7/16/2021,54.07,50.34,-3.74,0,5,7,Summer,47.79,40.07,6.28,41.15,-2.86,0.1815865111,,,,,
929,7/17/2021,51.23,65.30,14.07,1,6,7,Summer,54.07,34.98,-2.84,43.15,-3.20,0.1819318176,,,,,
930,7/18/2021,38.49,44.57,6.08,1,7,7,Summer,51.23,35.03,-12.74,45.47,-0.97,0.1822777807,,,,,
931,7/19/2021,42.54,44.15,1.61,1,1,7,Summer,38.49,44.08,4.06,45.96,0.27,0.1826244017,,,,,
932,7/20/2021,45.73,48.28,2.55,1,2,7,Summer,42.54,42.11,3.19,45.74,0.44,0.1829716819,,,,,
933,7/21/2021,51.19,37.65,-13.54,0,3,7,Summer,45.73,43.96,5.46,46.26,2.21,0.1833196224,,,,,
934,7/22/2021,38.41,34.94,-3.47,0,4,7,Summer,51.19,47.79,-12.78,47.29,-0.01,0.1836682246,,,,,
935,7/23/2021,36.99,41.12,4.13,1,5,7,Summer,38.41,54.07,-1.42,45.95,0.51,0.1840174898,,,,,
936,7/24/2021,35.38,39.65,4.27,1,6,7,Summer,36.99,51.23,-1.61,43.51,1.63,0.184367419,,,,,
937,7/25/2021,40.02,45.32,5.30,1,7,7,Summer,35.38,38.49,4.64,41.25,0.23,0.1847180137,,,,,
938,7/26/2021,49.79,45.54,-4.25,0,1,7,Summer,40.02,42.54,9.77,41.47,0.12,0.1850692751,,,,,
939,7/27/2021,50.14,39.19,-10.95,0,2,7,Summer,49.79,45.73,0.35,42.50,-0.72,0.1854212045,,,,,
940,7/28/2021,44.52,46.01,1.49,1,3,7,Summer,50.14,51.19,-5.62,43.13,-2.64,0.1857738031,,,,,
941,7/29/2021,40.37,40.12,-0.25,0,4,7,Summer,44.52,38.41,-4.16,42.18,-0.50,0.1861270722,,,,,
942,7/30/2021,37.11,42.78,5.68,1,5,7,Summer,40.37,36.99,-3.26,42.46,-0.04,0.186481013,,,,,
943,7/31/2021,30.52,28.29,-2.23,0,6,7,Summer,37.11,35.38,-6.59,42.48,0.19,0.186835627,,,,,
944,8/1/2021,32.36,29.36,-3.00,0,7,8,Summer,30.52,40.02,1.84,41.78,-0.74,0.1871909152,,,,,
945,8/2/2021,35.51,31.71,-3.81,0,1,8,Summer,32.36,49.79,3.15,40.69,-1.93,0.1875468791,,,,,
946,8/3/2021,36.30,33.54,-2.77,0,2,8,Summer,35.51,50.14,0.79,38.65,-1.87,0.1879035199,,,,,
947,8/4/2021,37.16,38.02,0.86,1,3,8,Summer,36.30,44.52,0.86,36.67,-0.70,0.1882608389,,,,,
948,8/5/2021,39.03,46.50,7.47,1,4,8,Summer,37.16,40.37,1.88,35.62,-0.79,0.1886188373,,,,,
949,8/6/2021,45.08,48.08,3.00,1,5,8,Summer,39.03,37.11,6.04,35.43,0.31,0.1889775166,,,,,
950,8/7/2021,43.80,40.05,-3.75,0,6,8,Summer,45.08,30.52,-1.28,36.57,-0.07,0.1893368779,,,,,
951,8/8/2021,43.46,31.84,-11.62,0,7,8,Summer,43.80,32.36,-0.34,38.46,-0.29,0.1896969225,,,,,
952,8/9/2021,48.56,41.41,-7.15,0,1,8,Summer,43.46,35.51,5.11,40.05,-1.52,0.1900576519,,,,,
953,8/10/2021,52.08,42.42,-9.66,0,2,8,Summer,48.56,36.30,3.51,41.91,-2.00,0.1904190672,,,,,
954,8/11/2021,54.81,47.78,-7.03,0,3,8,Summer,52.08,37.16,2.74,44.17,-2.98,0.1907811697,,,,,
955,8/12/2021,60.73,48.82,-11.91,0,4,8,Summer,54.81,39.03,5.91,46.69,-4.11,0.1911439609,,,,,
956,8/13/2021,60.67,50.51,-10.16,0,5,8,Summer,60.73,45.08,-0.05,49.79,-6.87,0.1915074419,,,,,
957,8/14/2021,47.40,54.90,7.50,1,6,8,Summer,60.67,43.80,-13.27,52.02,-8.76,0.1918716142,,,,,
958,8/15/2021,34.36,42.97,8.61,1,7,8,Summer,47.40,43.46,-13.05,52.53,-7.15,0.1922364789,,,,,
959,8/16/2021,38.84,44.51,5.67,1,1,8,Summer,34.36,48.56,4.49,51.23,-4.26,0.1926020375,,,,,
960,8/17/2021,40.50,48.58,8.08,1,2,8,Summer,38.84,52.08,1.66,49.84,-2.43,0.1929682912,,,,,
961,8/18/2021,45.85,58.40,12.55,1,3,8,Summer,40.50,54.81,5.35,48.19,0.11,0.1933352414,,,,,
962,8/19/2021,48.98,67.01,18.03,1,4,8,Summer,45.85,60.73,3.13,46.91,2.91,0.1937028894,,,,,
963,8/20/2021,51.57,51.41,-0.16,0,5,8,Summer,48.98,60.67,2.59,45.23,7.18,0.1940712365,,,,,
964,8/21/2021,47.66,42.50,-5.16,0,6,8,Summer,51.57,47.40,-3.91,43.93,8.61,0.1944402841,,,,,
965,8/22/2021,42.15,38.92,-3.23,0,7,8,Summer,47.66,34.36,-5.51,43.97,6.80,0.1948100334,,,,,
966,8/23/2021,49.44,46.43,-3.00,0,1,8,Summer,42.15,38.84,7.29,45.08,5.11,0.1951804859,,,,,
967,8/24/2021,53.76,70.16,16.40,1,2,8,Summer,49.44,40.50,4.32,46.59,3.87,0.1955516428,,,,,
968,8/25/2021,55.72,76.45,20.74,1,3,8,Summer,53.76,45.85,1.96,48.49,5.06,0.1959235055,,,,,
969,8/26/2021,62.31,67.10,4.79,1,4,8,Summer,55.72,48.98,6.60,49.90,6.23,0.1962960754,,,,,
970,8/27/2021,56.87,62.98,6.10,1,5,8,Summer,62.31,51.57,-5.44,51.80,4.34,0.1966693537,,,,,
971,8/28/2021,42.89,45.12,2.23,1,6,8,Summer,56.87,47.66,-13.99,52.56,5.23,0.1970433419,,,,,
972,8/29/2021,42.65,36.19,-6.46,0,7,8,Summer,42.89,42.15,-0.24,51.88,6.29,0.1974180412,,,,,
973,8/30/2021,53.60,53.04,-0.56,0,1,8,Summer,42.65,49.44,10.95,51.95,5.83,0.1977934531,,,,,
974,8/31/2021,49.68,46.42,-3.26,0,2,8,Summer,53.60,53.76,-3.92,52.54,6.18,0.1981695789,,,,,
975,9/1/2021,40.32,41.94,1.62,1,3,9,Fall,49.68,55.72,-9.36,51.96,3.37,0.1985464199,,,,,
976,9/2/2021,35.56,37.77,2.21,1,4,9,Fall,40.32,62.31,-4.76,49.76,0.64,0.1989239775,,,,,
977,9/3/2021,35.70,39.61,3.90,1,5,9,Fall,35.56,56.87,0.14,45.94,0.27,0.1993022531,,,,,
978,9/4/2021,33.37,38.13,4.76,1,6,9,Fall,35.70,42.89,-2.34,42.91,-0.04,0.199681248,,,,,
979,9/5/2021,34.83,34.51,-0.31,0,7,9,Fall,33.37,42.65,1.46,41.55,0.32,0.2000609636,,,,,
980,9/6/2021,36.24,33.53,-2.71,0,1,9,Fall,34.83,53.60,1.41,40.44,1.20,0.2004414013,,,,,
981,9/7/2021,42.06,54.67,12.61,1,2,9,Fall,36.24,49.68,5.82,37.96,0.89,0.2008225624,,,,,
982,9/8/2021,44.32,61.37,17.05,1,3,9,Fall,42.06,40.32,2.26,36.87,3.16,0.2012044484,,,,,
983,9/9/2021,47.94,46.03,-1.91,0,4,9,Fall,44.32,35.56,3.62,37.44,5.36,0.2015870605,,,,,
984,9/10/2021,41.96,43.25,1.29,1,5,9,Fall,47.94,35.70,-5.98,39.21,4.77,0.2019704002,,,,,
985,9/11/2021,37.50,35.50,-2.00,0,6,9,Fall,41.96,33.37,-4.46,40.10,4.40,0.2023544689,,,,,
986,9/12/2021,44.54,41.29,-3.25,0,7,9,Fall,37.50,34.83,7.05,40.69,3.43,0.2027392679,,,,,
987,9/13/2021,58.08,63.48,5.39,1,1,9,Fall,44.54,36.24,13.54,42.08,3.01,0.2031247987,,,,,
988,9/14/2021,52.83,70.86,18.02,1,2,9,Fall,58.08,42.06,-5.25,45.20,4.17,0.2035110626,,,,,
989,9/15/2021,65.67,71.34,5.67,1,3,9,Fall,52.83,44.32,12.84,46.74,4.94,0.203898061,,,,,
990,9/16/2021,60.70,53.25,-7.45,0,4,9,Fall,65.67,47.94,-4.97,49.79,3.32,0.2042857954,,,,,
991,9/17/2021,60.92,55.29,-5.63,0,5,9,Fall,60.70,41.96,0.22,51.61,2.53,0.204674267,,,,,
992,9/18/2021,58.44,57.79,-0.65,0,6,9,Fall,60.92,37.50,-2.48,54.32,1.54,0.2050634774,,,,,
993,9/19/2021,54.47,48.48,-5.99,0,7,9,Fall,58.44,44.54,-3.97,57.31,1.73,0.2054534279,,,,,
994,9/20/2021,60.18,56.52,-3.67,0,1,9,Fall,54.47,58.08,5.71,58.73,1.34,0.20584412,,,,,
995,9/21/2021,56.05,52.24,-3.82,0,2,9,Fall,60.18,52.83,-4.13,59.03,0.04,0.2062355549,,,,,
996,9/22/2021,56.83,61.60,4.77,1,3,9,Fall,56.05,65.67,0.78,59.49,-3.08,0.2066277343,,,,,
997,9/23/2021,55.53,66.65,11.12,1,4,9,Fall,56.83,60.70,-1.30,58.23,-3.21,0.2070206594,,,,,
998,9/24/2021,53.11,44.96,-8.15,0,5,9,Fall,55.53,60.92,-2.43,57.49,-0.55,0.2074143317,,,,,
999,9/25/2021,45.20,32.46,-12.74,0,6,9,Fall,53.11,58.44,-7.90,56.37,-0.91,0.2078087526,,,,,
1000,9/26/2021,41.19,30.01,-11.18,0,7,9,Fall,45.20,54.47,-4.01,54.48,-2.64,0.2082039235,,,,,
1001,9/27/2021,51.22,46.73,-4.49,0,1,9,Fall,41.19,60.18,10.04,52.59,-3.38,0.208599846,,,,,
1002,9/28/2021,51.34,59.06,7.73,1,2,9,Fall,51.22,56.05,0.11,51.31,-3.50,0.2089965212,,,,,
1003,9/29/2021,47.46,52.24,4.78,1,3,9,Fall,51.34,56.83,-3.88,50.63,-1.85,0.2093939509,,,,,
1004,9/30/2021,48.67,50.12,1.45,1,4,9,Fall,47.46,55.53,1.21,49.29,-1.85,0.2097921362,,,,,
1005,10/1/2021,48.38,47.89,-0.49,0,5,10,Fall,48.67,53.11,-0.29,48.31,-3.23,0.2101910788,,,,,
1006,10/2/2021,47.27,44.31,-2.96,0,6,10,Fall,48.38,45.20,-1.11,47.64,-2.13,0.21059078,,,,,
1007,10/3/2021,45.71,47.23,1.52,1,7,10,Fall,47.27,41.19,-1.56,47.93,-0.74,0.2109912413,,,,,
1008,10/4/2021,53.60,64.25,10.65,1,1,10,Fall,45.71,51.22,7.89,48.58,1.08,0.2113924641,,,,,
1009,10/5/2021,55.94,51.14,-4.79,0,2,10,Fall,53.60,51.34,2.33,48.92,3.24,0.2117944498,,,,,
1010,10/6/2021,58.92,54.74,-4.18,0,3,10,Fall,55.94,47.46,2.99,49.58,1.45,0.2121972,,,,,
1011,10/7/2021,62.69,64.19,1.50,1,4,10,Fall,58.92,48.67,3.76,51.21,0.17,0.2126007161,,,,,
1012,10/8/2021,62.99,60.14,-2.84,0,5,10,Fall,62.69,48.38,0.30,53.22,0.18,0.2130049995,,,,,
1013,10/9/2021,56.03,50.82,-5.21,0,6,10,Fall,62.99,47.27,-6.95,55.30,-0.16,0.2134100516,,,,,
1014,10/10/2021,50.57,52.86,2.30,1,7,10,Fall,56.03,45.71,-5.47,56.55,-0.48,0.2138158741,,,,,
1015,10/11/2021,58.22,49.37,-8.85,0,1,10,Fall,50.57,53.60,7.66,57.25,-0.37,0.2142224682,,,,,
1016,10/12/2021,59.20,52.68,-6.52,0,2,10,Fall,58.22,55.94,0.98,57.91,-3.15,0.2146298355,,,,,
1017,10/13/2021,55.99,56.15,0.17,1,3,10,Fall,59.20,58.92,-3.21,58.37,-3.40,0.2150379775,,,,,
1018,10/14/2021,58.10,57.09,-1.01,0,4,10,Fall,55.99,62.69,2.12,57.95,-2.78,0.2154468956,,,,,
1019,10/15/2021,61.31,65.38,4.06,1,5,10,Fall,58.10,62.99,3.21,57.30,-3.14,0.2158565913,,,,,
1020,10/16/2021,57.97,54.43,-3.54,0,6,10,Fall,61.31,56.03,-3.34,57.06,-2.15,0.2162670661,,,,,
1021,10/17/2021,44.83,39.74,-5.09,0,7,10,Fall,57.97,50.57,-13.14,57.34,-1.91,0.2166783214,,,,,
1022,10/18/2021,52.28,45.23,-7.05,0,1,10,Fall,44.83,58.22,7.45,56.52,-2.97,0.2170903588,,,,,
1023,10/19/2021,51.65,41.81,-9.84,0,2,10,Fall,52.28,59.20,-0.63,55.67,-2.71,0.2175031798,,,,,
1024,10/20/2021,51.82,45.87,-5.94,0,3,10,Fall,51.65,55.99,0.17,54.59,-3.18,0.2179167857,,,,,
1025,10/21/2021,51.89,50.91,-0.98,0,4,10,Fall,51.82,58.10,0.07,53.99,-4.06,0.2183311782,,,,,
1026,10/22/2021,49.54,59.25,9.71,1,5,10,Fall,51.89,61.31,-2.35,53.11,-4.05,0.2187463587,,,,,
1027,10/23/2021,47.65,50.54,2.88,1,6,10,Fall,49.54,57.97,-1.88,51.43,-3.25,0.2191623287,,,,,
1028,10/24/2021,47.68,46.20,-1.48,0,7,10,Fall,47.65,44.83,0.03,49.95,-2.33,0.2195790897,,,,,
1029,10/25/2021,57.40,69.12,11.72,1,1,10,Fall,47.68,52.28,9.72,50.36,-1.81,0.2199966432,,,,,
1030,10/26/2021,58.96,62.48,3.53,1,2,10,Fall,57.40,51.65,1.56,51.09,0.87,0.2204149908,,,,,
1031,10/27/2021,59.10,61.39,2.28,1,3,10,Fall,58.96,51.82,0.15,52.13,2.78,0.2208341338,,,,,
1032,10/28/2021,58.84,56.51,-2.33,0,4,10,Fall,59.10,51.89,-0.26,53.17,3.95,0.221254074,,,,,
1033,10/29/2021,59.52,57.17,-2.35,0,5,10,Fall,58.84,49.54,0.68,54.17,3.76,0.2216748126,,,,,
1034,10/30/2021,54.90,71.11,16.21,1,6,10,Fall,59.52,47.65,-4.62,55.59,2.03,0.2220963514,,,,,
1035,10/31/2021,49.55,46.79,-2.77,0,7,10,Fall,54.90,47.68,-5.35,56.63,3.94,0.2225186918,,,,,
1036,11/1/2021,55.73,58.14,2.40,1,1,11,Fall,49.55,57.40,6.18,56.90,3.75,0.2229418353,,,,,
1037,11/2/2021,59.31,57.94,-1.37,0,2,11,Fall,55.73,58.96,3.58,56.66,2.42,0.2233657834,,,,,
1038,11/3/2021,60.76,65.55,4.80,1,3,11,Fall,59.31,59.10,1.45,56.71,1.72,0.2237905378,,,,,
1039,11/4/2021,63.19,74.26,11.07,1,4,11,Fall,60.76,58.84,2.43,56.95,2.08,0.2242160998,,,,,
1040,11/5/2021,62.74,82.17,19.43,1,5,11,Fall,63.19,59.52,-0.45,57.57,4.00,0.2246424711,,,,,
1041,11/6/2021,63.52,65.07,1.55,1,6,11,Fall,62.74,54.90,0.77,58.03,7.11,0.2250696532,,,,,
1042,11/7/2021,61.29,60.68,-0.61,0,7,11,Fall,63.52,49.55,-2.23,59.26,5.02,0.2254976476,,,,,
1043,11/8/2021,66.00,72.93,6.93,1,1,11,Fall,61.29,55.73,4.71,60.94,5.32,0.2259264559,,,,,
1044,11/9/2021,61.62,54.28,-7.34,0,2,11,Fall,66.00,59.31,-4.38,62.40,5.97,0.2263560797,,,,,
1045,11/10/2021,56.74,47.22,-9.52,0,3,11,Fall,61.62,60.76,-4.87,62.73,5.12,0.2267865204,,,,,
1046,11/11/2021,51.95,39.76,-12.19,0,4,11,Fall,56.74,63.19,-4.80,62.16,3.07,0.2272177796,,,,,
1047,11/12/2021,45.45,45.96,0.51,1,5,11,Fall,51.95,62.74,-6.50,60.55,-0.25,0.2276498589,,,,,
1048,11/13/2021,44.17,48.35,4.18,1,6,11,Fall,45.45,63.52,-1.28,58.08,-2.95,0.2280827599,,,,,
1049,11/14/2021,49.17,44.85,-4.32,0,7,11,Fall,44.17,61.29,5.00,55.32,-2.58,0.2285164841,,,,,
1050,11/15/2021,62.28,45.88,-16.40,0,1,11,Fall,49.17,66.00,13.12,53.58,-3.11,0.228951033,,,,,
1051,11/16/2021,59.43,57.42,-2.02,0,2,11,Fall,62.28,61.62,-2.85,53.05,-6.44,0.2293864083,,,,,
1052,11/17/2021,54.23,49.73,-4.50,0,3,11,Fall,59.43,56.74,-5.20,52.74,-5.68,0.2298226115,,,,,
1053,11/18/2021,51.63,47.04,-4.60,0,4,11,Fall,54.23,51.95,-2.60,52.38,-4.96,0.2302596442,,,,,
1054,11/19/2021,50.82,43.94,-6.89,0,5,11,Fall,51.63,45.45,-0.81,52.34,-3.88,0.230697508,,,,,
1055,11/20/2021,49.32,44.70,-4.62,0,6,11,Fall,50.82,44.17,-1.50,53.11,-4.93,0.2311362044,,,,,
1056,11/21/2021,47.09,40.69,-6.41,0,7,11,Fall,49.32,49.17,-2.23,53.84,-6.19,0.231575735,,,,,
1057,11/22/2021,52.06,45.71,-6.35,0,1,11,Fall,47.09,62.28,4.97,53.55,-6.49,0.2320161015,,,,,
1058,11/23/2021,56.90,49.57,-7.33,0,2,11,Fall,52.06,59.43,4.84,52.09,-5.05,0.2324573053,,,,,
1059,11/24/2021,69.52,51.49,-18.04,0,3,11,Fall,56.90,54.23,12.62,51.72,-5.81,0.2328993482,,,,,
1060,11/25/2021,49.84,51.50,1.65,1,4,11,Fall,69.52,51.63,-19.68,53.91,-7.75,0.2333422316,,,,,
1061,11/26/2021,54.53,56.23,1.70,1,5,11,Fall,49.84,50.82,4.69,53.65,-6.85,0.2337859572,,,,,
1062,11/27/2021,56.95,57.38,0.43,1,6,11,Fall,54.53,49.32,2.42,54.18,-5.63,0.2342305267,,,,,
1063,11/28/2021,58.61,73.06,14.45,1,7,11,Fall,56.95,47.09,1.66,55.27,-4.91,0.2346759415,,,,,
1064,11/29/2021,66.91,80.79,13.88,1,1,11,Fall,58.61,52.06,8.30,56.92,-1.93,0.2351222033,,,,,
1065,11/30/2021,71.11,73.96,2.86,1,2,11,Fall,66.91,56.90,4.20,59.04,0.96,0.2355693138,,,,,
1066,12/1/2021,61.48,57.41,-4.07,0,3,12,Winter,71.11,69.52,-9.63,61.07,2.42,0.2360172744,,,,,
1067,12/2/2021,55.38,42.95,-12.43,0,4,12,Winter,61.48,49.84,-6.10,59.92,4.41,0.2364660869,,,,,
1068,12/3/2021,44.57,55.65,11.08,1,5,12,Winter,55.38,54.53,-10.81,60.71,2.40,0.2369157529,,,,,
1069,12/4/2021,47.09,51.95,4.86,1,6,12,Winter,44.57,56.95,2.52,59.29,3.74,0.237366274,,,,,
1070,12/5/2021,42.98,38.55,-4.43,0,7,12,Winter,47.09,58.61,-4.10,57.88,4.38,0.2378176518,,,,,
1071,12/6/2021,43.82,38.74,-5.09,0,1,12,Winter,42.98,66.91,0.84,55.64,1.68,0.2382698879,,,,,
1072,12/7/2021,48.53,62.24,13.71,1,2,12,Winter,43.82,71.11,4.70,52.35,-1.03,0.238722984,,,,,
1073,12/8/2021,52.05,61.94,9.89,1,3,12,Winter,48.53,61.48,3.53,49.12,0.52,0.2391769418,,,,,
1074,12/9/2021,60.88,48.60,-12.28,0,4,12,Winter,52.05,55.38,8.83,47.77,2.51,0.2396317627,,,,,
1075,12/10/2021,47.78,41.04,-6.74,0,5,12,Winter,60.88,44.57,-13.10,48.56,2.54,0.2400874486,,,,,
1076,12/11/2021,36.48,42.53,6.06,1,6,12,Winter,47.78,47.09,-11.30,49.02,-0.01,0.240544001,,,,,
1077,12/12/2021,32.57,30.18,-2.38,0,7,12,Winter,36.48,42.98,-3.91,47.50,0.16,0.2410014216,,,,,
1078,12/13/2021,35.91,30.28,-5.63,0,1,12,Winter,32.57,43.82,3.34,46.02,0.45,0.241459712,,,,,
1079,12/14/2021,37.43,34.19,-3.24,0,2,12,Winter,35.91,48.53,1.53,44.88,0.37,0.2419188739,,,,,
1080,12/15/2021,37.37,33.58,-3.79,0,3,12,Winter,37.43,52.05,-0.06,43.30,-2.05,0.2423789089,,,,,
1081,12/16/2021,32.48,39.58,7.10,1,4,12,Winter,37.37,60.88,-4.89,41.20,-4.00,0.2428398188,,,,,
1082,12/17/2021,32.90,50.29,17.39,1,5,12,Winter,32.48,47.78,0.42,37.15,-1.23,0.2433016051,,,,,
1083,12/18/2021,47.47,57.56,10.09,1,6,12,Winter,32.90,36.48,14.57,35.02,2.21,0.2437642696,,,,,
